# 第四章抗体选择题题库（纯|分隔·无题号·统一格式·可直接批量导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
肿瘤局部髓系来源的抑制性细胞主要发挥下述作用|杀伤肿瘤细胞|激活树突状细胞|参与肿瘤免疫逃逸|产生抗体|协助CTL抗肿瘤|C
免疫监视学说是由谁提出的|Frank MacFarlane Burnet和Lewis Tomas|Robert Koch|Emil Von Behring|Paul Ehrlich|Karl Landsteiner|A
肿瘤免疫编辑学说解释了|肿瘤免疫逃逸的机制|抗体多样化机理|T细胞基因重排的机理|B细胞基因重排的机理|机体的抗肿瘤免疫机制|A
可直接特异杀伤肿瘤细胞的是|LAK细胞|树突状细胞|CTL细胞|γδT细胞|CIK细胞|C
抗原调变是指|在机体抗肿瘤免疫的压力下,肿瘤细胞表达的肿瘤抗原减少或丢失|机体免疫系统为了适用环境改变自身抗原|肿瘤细胞表达新抗原的方式|树突状细胞等抗原提呈细胞对抗原的加工方式|B细胞提呈特异性肿瘤抗原的方式|A
关于肿瘤细胞,正确的是|一般不表达抗凋亡分子|通过表达抗凋亡分子抵抗CTL等诱导的凋亡|通过表达抗凋亡分子可诱导肿瘤特异性T细胞凋亡|通过表达抗凋亡分子抑制树突状细胞的抗原提呈|通过表达抗凋亡分子抵抗抗肿瘤抗体的作用|B
长期服用免疫抑制剂的影响是|一般不影响机体的抗肿瘤免疫功能|会导致机体抗肿瘤免疫功能低下而诱发肿瘤|会增强机体的抗肿瘤免疫功能|可以直接杀伤肿瘤细胞|可以改善肿瘤微环境有助于治疗肿瘤|B
宿主体内存在一定量的"增强抗体",以下正确的是|一般不影响机体的抗肿瘤免疫功能|有助于肿瘤生长|会增强机体的抗肿瘤免疫功能|可以直接杀伤肿瘤细胞|可以增强杀伤细胞的功能而有助于治疗肿瘤|B
靶向抗原为人类表皮生长因子受体-2(HER-2)的基因工程抗体主要用于治疗哪类肿瘤|宫颈癌|乳腺癌|黑色素瘤|肝癌|前列腺癌|B
靶向抗原为CD20的基因工程抗体主要用于治疗哪类肿瘤|宫颈癌|乳腺癌|B细胞淋巴瘤|肝癌|前列腺癌|C
下列哪种治疗肿瘤的方法为主动免疫疗法|细胞因子诱导的杀伤细胞(CIK)|肿瘤浸润性淋巴细胞(TIL)|肿瘤抗原特异的CTL|活化的单核/巨噬细胞|抗原致敏的树突状细胞|E
HPV疫苗疫苗可预防下列哪种肿瘤的发生|宫颈癌|乳腺癌|黑色素瘤|成人T细胞白血病|前列腺癌|A
卡介苗的抗肿瘤作用在于其具有哪种作用|增强非特异抗肿瘤免疫功能作用|抗结核而具有抗肿瘤免疫功能|增强特异性细胞免疫效应|增强特异性体液免疫效应|不具有抗肿瘤免疫作用|A
CAR-T细胞(CART)疗法在哪类肿瘤治疗获得成功|肺癌|肝癌|白血病|胃癌|黑色素瘤|C
免疫检查点疗法通过下列哪条途径以调节T细胞活性来提高抗肿瘤免疫反应|共抑制或共刺激信号等一系列途径|炎症信号通路|JAK-STAT信号通路|Wnt信号|NF-κB信号|A
免疫检查点分子是|一类免疫活化分子|一类免疫抑制性分子|免疫系统检查免疫功能的地点|一类细胞因子|一类保内信号分子|B
肿瘤疫苗属于|主动免疫疗法|过继免疫疗法|细胞因子疗法|抗体靶向疗法|抗原靶向疗法|A
将小鼠肿瘤细胞通过射线灭活后免疫同基因小鼠,两周后给予接种一定数量的活的肿瘤细胞,发现无肿瘤生长,可能因为|这株肿瘤细胞表达有肿瘤特异性抗原|这株肿瘤瘤细胞无免疫原性|小鼠体内有大量的增强抗体|被接种小鼠处于超敏反应状态|小鼠未能产生特异性抗肿瘤免疫应答反应|A
将小鼠肿瘤细胞通过射线灭活后免疫同基因小鼠,两周后给予接种一定数量的活的肿瘤细胞,数天后在接种部位发现肿瘤结节,最可能因为|小鼠因为接种了射线灭活的肿瘤细胞而出现了耐受|小鼠因为接种了射线灭活的肿瘤细胞而产生了过强的体液免疫反应|这株肿瘤细胞的抗原未能诱导机体产生有效的抗肿瘤免疫反应|小鼠因为接种了射线灭活的肿瘤细胞而出现了免疫抑制|这株肿瘤细胞的抗原诱导机体产生了很强的细胞免疫反应|C
患者,男性,33岁,自2015年6月初因"涕血2周,发现鼻咽肿物"2日就诊。经检查双侧颈深间隙(双颈II区及右侧I区)、咽后间隙散在多发淋巴结,小部分颈深部淋巴结增大。最可能的原因是|舌癌|鼻咽癌|肺癌|过敏性鼻炎|咽炎|B
患者,男性,87岁,2016年涕中带血,头痛,声音嘶哑,人外院行CT示鼻咽部占位。可检测哪类肿瘤抗原的抗体以辅助诊断|EIA|MART-1|EBNA-1|AFP|CEA|C
患者,男性,55岁,慢性乙肝病史20年,体检显示AFP值大于1000,其可能的诊断是|肺癌|结肠癌|肝癌|胃癌|白血病|C
患者,女性,18岁。急性淋巴性白血病,本人和家人愿意加入免疫细胞疗法的临床试验研究,此类患者最合适的疗法是|CART疗法|TIL|LAK|DC-CIK|抗体靶向治疗|A
患者,女性,30岁。急性淋巴性白血病,可考虑用于治疗的抗体靶向的是|CD4|CD40|CD20|CD8|CD80|C
患者,男性,60岁。无痛便血2个月,直肠指诊显示占位,其可能的诊断是|肺癌|直肠癌|肝癌|胃癌|白血病|B
患者,男性,65岁。无痛便血2个月,直肠指诊显示占位,可检测哪类肿瘤抗原的抗体以辅助诊断|EIA|MART-1|EBNA-1|AFP|CEA|E
患者,女性,62岁。2016年6月18日以"间断腹痛、呕吐、腹泻一月余"为主诉人院,无黑便,无发热,食欲差,近期体重减少约10公斤。B超显示肝部4cmx3cm占位,AFP水平正常,CEA≥20μg/L。肠镜:回盲瓣水肿,溃疡性病变蔓延至盲肠,为广基隆起性病变,中间凹陷。最可能的诊断|结肠癌伴肝转移|肝癌|直肠癌伴肝转移|胆管癌|胰腺癌|A
患者,男性,50个岁。鼻腔出血加重5个月,伴耳鸣,头痛。颈淋巴结肿大,鼻咽部及颈部肿大淋巴结取活体组织病理检查,诊断为鼻咽癌。最可能与下列哪个因素有关|CMV病毒|HBV病毒|HPV病毒|EBV病毒|SV40病毒|D
患者,女性,50岁。因"发现左乳肿块10天"就诊,查胸部SCT示:左乳腺外侧腺体致密,建议结合乳腺专项检查,两肺CT平扫未见明显异常,肝内低密度灶,建议结合腹部检查。后行"左乳癌改良根治术",术后病理:左乳腺浸润性导管癌(大小约2cmx1.8cmx1.5cm),左腋下14/20只淋巴结转移。IHC示:ER(-)、PR(-)、HER-2(+)、KI-67(+,45%)、TOPO II(+)、P53(-)。此患者可用的靶向抗体药物主要靶向|AFP|CD20|Her-2|CEA|CD19|C
患者,男性,56岁。体检B超发现肝脏有一6cm结节,怀疑为肝癌,确诊后进行治疗,错误的是|手术治疗|化疗|卡介苗|INF-γ|HBV疫苗|E
患者,女性,22岁。主诉:阴道接触性出血半年。宫颈病理活检提示宫颈鳞癌,此类患者最可能的发病原因|CMV病毒|HBV病毒|HPV病毒|EBV病毒|SV40病毒|C
某女性青年性关系紊乱,咨询接种哪种疫苗以预防宫颈癌|HBV疫苗|HPV疫苗|卡介苗|百白破疫苗|牛痘|B
患者,男性,35岁。初诊成人T细胞白血病,可检测哪种病毒以辅助诊断|人嗜T淋巴细胞病毒1|HBV|HIV|EBV|CMV病毒|A
患者,男性,64岁。排尿困难,夜尿增多1月余。肛检前列腺增生II°,质偏硬,以左后叶明显,有轻度压痛,未扪及结节,中央沟变浅。CT示前列腺增大,前缘呈结节状突人膀胱内,密度小,增强后前列腺后部大约2.9cmx2.0cm低密度影,其余前列腺实质明显强化。建议检测哪种肿瘤抗原|AFP|CD20|Her-2|CEA|PSA|E
患者,男性,25岁。同性恋者,因咽痛、咳嗽、发热就诊。临床考虑为肺部感染,积极的抗生素治疗和抗结核治疗无效,患者出现低热,呼吸困难,体重明显减轻,双肺多发团块样阴影,行肺部穿刺活检后,发现了肺部病变是卡波西肉瘤(KS)。应考虑|HIV感染|HPV感染|HCV感染|HIV感染|EBV感染|D
患者,男性,30岁。HIV感染者,乙肝表面抗原阳性,肺部活检显示卡波西肉瘤(KS)。现肉瘤的最可能原因|HIV感染破坏了免疫功能|HBV感染影响了免疫功能|HBV感染影响了肝脏功能|HIV感染影响了肝脏功能|HIV感染造成了自身免疫性疾病|A
患者,男性,70岁。肺癌锁骨上淋巴结转移,根据肿瘤免疫编辑学说此患者处于|原位癌期|清除期|平衡期|免疫逃逸期|终末期|D
协助淋巴瘤和白血病诊断的是|检测AFP抗原|检测CEA抗原|检测CA199抗原|检测PSA抗原|检测细胞表面CD分子|E
协助诊断直结肠癌的是|检测AFP抗原|检测CEA抗原|检测CA199抗原|检测PSA抗原|检测细胞表面CD分子|B
协助诊断原发性肝细胞癌的是|检测AFP抗原|检测CEA抗原|检测CA199抗原|检测PSA抗原|检测细胞表面CD分子|A
协助诊断前列腺癌的是|检测AFP抗原|检测CEA抗原|检测CA199抗原|检测PSA抗原|检测细胞表面CD分子|D
与宫颈癌发病有关的病原是|EBV|HTLV-1|HPV|HCV和HBV|HIV|C
与鼻咽癌发病有关的病原是|EBV|HTLV-1|HPV|HCV和HBV|HIV|A
与原发肝癌发病有关的病原是|EBV|HTLV-1|HPV|HCV和HBV|HIV|D
与成人T细胞白血病发病有关的病原是|EBV|HTLV-1|HPV|HCV和HBV|HIV|B
# 第二十五章 免疫学防治（纯|分隔·无题号·可直接导入）
## 统一格式：题干|选项A|选项B|选项C|选项D|选项E|正确答案
下列情况属于人工主动免疫|通过胎盘、初乳获得的免疫|通过隐性感染获得的免疫|通过注射类毒素获得的免疫|通过注射丙种球蛋白获得的免疫|通过患感染性疾病获得的免疫|C
下列情况属于人工被动免疫|通过胎盘、初乳获得的免疫|通过患感染性疾病获得的免疫|通过注射疫苗获得的免疫|通过注射抗毒素获得的免疫|通过注射类毒素获得的免疫|D
下列哪种属于自然被动免疫|注射丙种球蛋白|注射抗毒素血清|从母体经胎盘得到的抗体|接种类毒素产生的抗体|接种疫苗产生的抗体|C
密切接触白喉患者的儿童应给予的免疫措施是|白喉类毒素|BCG|白喉抗毒素|丙种球蛋白|胎盘球蛋白|C
隐性感染后获得的免疫属于|过继免疫|人工主动免疫|人工被动免疫|自然主动免疫|自然被动免疫|D
下列哪项属于人工主动免疫|注射丙种球蛋白预防麻疹|接种卡介苗预防结核|注射胸腺肽治疗恶性肿瘤|静脉注射CIK细胞治疗肿瘤|注射破伤风抗毒素治疗破伤风|B
根据有效免疫原的氨基酸序列，设计合成的免疫原性多肽称为|合成肽疫苗|结合疫苗|亚单位疫苗|重组抗原疫苗|灭活疫苗|A
提取病原体中有效免疫原制成的抗原称为|灭活疫苗|合成肽疫苗|给合疫苗|亚单位疫苗|重组抗原疫苗|D
由编码病原体有效免疫原的基因与细菌质粒构建形成的重组体称为|合成肽疫苗|重组载体疫苗|重组抗原疫苗|DNA疫苗|结合疫苗|D
嵌合抗体是指|将鼠CDR序列移植到人抗体可变区形成的抗体|一条肽链中含两个抗体可变区片段的抗体|小鼠转染人抗体基因后产生的抗体|双特异性抗体|将鼠源抗体可变区与人抗体恒定区融合形成的抗体|E
免疫治疗中，具有同时特异性结合Tc和肿瘤细胞的抗体是|单链抗体|人源化抗体|双价抗体|嵌和抗体|双特异性抗体|E
用IFN-α治疗效果显著|再生障碍性贫血|类风湿关节炎|毛细胞白血病|多发性硬化症|血小板减少|C
抗CD20靶向治疗|再生障碍性贫血|移植排斥反应|急性髓样白血病|B细胞淋巴瘤|类风湿关节炎|D
用于肿瘤靶向治疗的免疫毒素是指|抗肿瘤的单克隆抗体(单抗)|抗肿瘤单抗与放射性核素的交联物|抗肿瘤单抗与抗癌化疗剂的交联物|抗肿瘤单抗与毒素的交联物|抗肿瘤单抗与酶的交联物|D
下列哪种属于免疫抑制剂|左旋咪唑|转移因子|卡介苗|西咪替丁|硫唑嘌呤|E
临床使用胎盘丙种球蛋白的副作用是|容易引起超敏反应|抗病毒感染|容易引起肿瘤|容易造成病毒感染|容易引起自身免疫病|A
有关CART的细胞治疗，正确的是|CART识别抗原需要MHC限制性|CART仅能用逆转录病毒转染|CART主要用于实体瘤治疗|CART设计包含了T细胞活化的第一信号和第二信号|CART不可以联合其他免疫治疗|D
对灭活疫苗叙述有误的是|用免疫原性强的病原体灭活制成|需多次接种|注射的局部和全身反应较重|保存比活疫苗方便|能诱导细胞免疫形成和特异性抗体产生|E
对减毒活疫苗叙述有误的是|用减毒或无毒活病原体制成|一般只需接种一次|比死疫苗更安全|保存要求比死疫苗高|能诱导细胞免疫形成和特异性抗体产生|C
不属于人工主动免疫的是|白喉类毒素|破伤风抗毒素|卡介苗|百日咳疫苗|脊髓灰质炎疫苗|B
不属于工被动免疫的是|破伤风抗毒素|静脉注射用免疫球蛋白|胎盘免疫球蛋白|白喉类毒素|血浆免疫球蛋白|D
下面哪种制剂不是人工被动免疫制剂|抗毒素|类毒素|抗病毒血清|血清丙种球蛋白|胎盘球蛋白|B
下列哪种物质不属于人工主动免疫制剂|死疫苗|类毒素|丙种球蛋白|菌苗|卡介苗|C
关于过继免疫错误的是|输入物质为抗原|免疫力出现快|维持时间不定|多用于治疗|输入物质为免疫活性细胞|A
关于人免疫球蛋白制剂，下述哪项是错误的|从血浆活胎盘血中分离制成|可用于病毒性疾病的预防|可用于免疫缺陷病的治疗|只含IgG类抗体|一般为多价抗血清|D
关于抗毒素的使用，哪项是有误的|可能发生过敏反应|治疗时要早期足量|可作为免疫增强剂给儿童多次注射|对过敏机体应采取脱敏疗法|注射前应做皮试|C
免疫抑制疗法不宜用于|超敏反应病|自身免疫病|感染|炎症|移植排斥反应|C
免疫增强疗法不宜用于|感染|低免疫球蛋白血症|肿瘤|炎症|艾滋病|D
特异性免疫治疗不包括|免疫毒素疗法|细胞因子治疗|抗毒素血清治疗|抗体导向化学疗法|抗细胞表面分子单抗治疗|B
下列哪种不是人工被动免疫的生物制品|抗毒素|单克隆抗体|丙种球蛋白|类毒素|基因工程抗体|D
为预防感染性疾病进行预防接种，目前使用减毒活疫苗较比使用灭活疫苗普遍，下述原因中不正确的是|接种活疫苗能使机体产生特异性体液免疫和细胞免疫，而灭活疫苗不能产生细胞免疫|减毒活疫苗刺激机体产生特异性保护，其持续时间一般较灭活疫苗长|减毒疫苗株能在机体内增殖并抑制或干扰野毒株增殖和致病性，而灭活疫苗不能|减毒活疫苗可应用于免疫缺陷或低下的患者，因为它可诱导机体产生分泌型抗体|减毒活疫苗株虽有返祖为野毒株的可能性，但其概率极低|D
有关PD-1的描述，不正确的是|PD-1是免疫检测点分子|PD-1与PD-L1结合传导免疫抑制信号|抗PD-1抗体对实体肿瘤治疗有效|抗PD-1抗体对非实体肿瘤治疗有效|PD-1高表达提示细胞活化和增殖受到抑制|E
百日咳疫苗属于|活疫苗|死疫苗|结合疫苗|亚单位疫苗|基因工程疫苗|B
细菌荚膜多糖水解物化学联接白喉类毒素形成的疫苗|活疫苗|死疫苗|结合疫苗|亚单位疫苗|基因工程疫苗|C
重组乙型肝炎表面抗原|活疫苗|死疫苗|结合疫苗|亚单位疫苗|基因工程疫苗|E
卡介苗|活疫苗|死疫苗|结合疫苗|亚单位疫苗|基因工程疫苗|A
脑膜炎球菌英膜多糖疫苗|活疫苗|死疫苗|结合疫苗|亚单位疫苗|基因工程疫苗|C
可用来制备免疫毒素的是|白喉外毒素|青霉素|多柔比星|庆大霉素|氯霉素|A
可诱发I型超敏反应的是|白喉外毒素|青霉素|多柔比星|庆大霉素|氯霉素|B
具有免疫增强疗效的化学制剂是|左旋咪唑|环磷酰胺|卡介苗|环孢素|胸腺素|A
具有免疫抑制疗效的微生物制剂是|左旋咪唑|环磷酰胺|卡介苗|环孢素|胸腺素|D
麻疹和传染性肝炎的紧急预防|抗毒素血清|丙种球蛋白|免疫毒素|抗淋巴细胞丙种球蛋白|抗HIV血清|B
破伤风的治疗|抗毒素血清|丙种球蛋白|免疫毒素|抗淋巴细胞丙种球蛋白|抗HIV血清|A
肿瘤的治疗|抗毒素血清|丙种球蛋白|免疫毒素|抗淋巴细胞丙种球蛋白|抗HIV血清|C
