以下为**纯单行分隔符格式**的所有单选题（原文档无判断题和多选题），采用**【题目||选项A||选项B||选项C||选项D||选项E||正确答案】** 标准格式，无任何多余格式和换行，可直接复制粘贴导入绝大多数游戏题库系统。所有B1型共用备选答案题已转换为独立题目，每个题目自带完整选项。
42岁女性,常规体检中发现宫颈细胞有高度上皮间瘤样病变。有吸烟史、多个性伴侣和衣原体感染史,已有5年没有做过阴道细胞涂片检查。下述哪个病毒家族可能与此相关||风疹病毒||人乳头瘤病毒||副黏病毒||黄病毒||细小病毒||B
4岁女孩,1个月前颈部和前胸出现大量的皮肤小突起,不痛不痒,使用座疮药物无效无药物使用及过敏史。体检发现散在的、孤立的1~2mm的丘疹,红色,中间凹陷。怀疑为传染性软疣,可能和以下哪种病原体相关||痘病毒||疱疹病毒||腺病毒||细小病毒||乳头瘤病毒||A
8岁男孩,发热出疹3天。红疹起始于面部,后向肢体扩散。A族链球菌抗原检测阴性,诊断为传染性红斑。下面哪种情况加重患者的危险||接种脊髓灰质炎疫苗||饲养感染细小病毒的犬||同时感染流感病毒||接种麻疹活疫苗||患镰状细胞疾病||E
某大学生查阅中世纪文章发现很多人感染了一种致死性疾病,急性发热、肌痛、特征性皮疹伴有水疱样病变。没死去的病人留有毁容性瘢痕,这种病原体是双链DNA.在细胞质中复制,可能是下列哪种||乳头瘤病毒||单纯疱疹病毒||风疹病毒||水痘-带状疱疹病毒||天花病毒||E
通过神经扩散的嗜神经病毒是||乙型脑炎病毒||狂犬病病毒||人乳头瘤病毒||人类免疫缺陷病毒||乙型肝炎病毒||B
通过血流扩散的嗜神经病毒是||乙型脑炎病毒||狂犬病病毒||人乳头瘤病毒||人类免疫缺陷病毒||乙型肝炎病毒||A
通过性接触引起AIDS的病毒是||乙型脑炎病毒||狂犬病病毒||人乳头瘤病毒||人类免疫缺陷病毒||乙型肝炎病毒||D
与人畜共患传染病有关的病毒是||脊髓灰质炎病毒||狂犬病病毒||甲型肝炎病毒||麻疹病毒||人乳头瘤病毒||B
与人类恶性肿瘤有关的病毒是||脊髓灰质炎病毒||狂犬病病毒||甲型肝炎病毒||麻疹病毒||人乳头瘤病毒||E
# 第三十四章 朊粒
仅含有蛋白质成分,不含核酸的感染因子是||类病毒||拟病毒||衣原体||朊粒||缺陷病毒||D
关于朊粒的叙述,错误的是||化学组成是蛋白质||是一种传染性蛋白颗粒||对蛋白酶K敏感||其编码的基因存在于人类染色体中||是缺陷病毒||C
有关朊粒对理化因素的抵抗力,叙述正确的是||可用蛋白质酶K消化||对辐射、紫外线及常用消毒剂抵抗力弱||高压蒸汽灭菌121.3°C,20分钟可灭活||高压蒸汽灭菌134.3°C,≥2小时才能使其失去传染性||70%乙醇可灭活||D
关于朊粒病的共同特征,叙述错误的是||潜伏期长||病程呈急性、进行性发展||病人临床表现以痴呆、共济失调、震颤等中枢神经系统症状为主||病理学特征为脑皮质神经元空泡变性、死亡,星形胶质细胞增生||脑皮质疏松呈海绵状,有淀粉样斑块形成||B
下列疾病中与朊粒感染无关的是||疯牛病||羊瘙痒病||传染性痴呆||库鲁病||亚急性硬化性全脑炎||E
女性,52岁,半年来有迅速进展的健忘、头痛、失眠,体重下降,伴步态不稳。脑脊液标本14-3-3蛋白检测阳性。否认家族中有类似疾病。既往无手术史,无出国史。其最可能的诊断是||散发性CJD||家族性CJD||医源性CJD||变异型克雅病||库鲁病||A
女性,25岁,土著人,3个月来出现发抖、震颤、肌阵挛,继而出现痴呆、肢体完全瘫痪。有食尸史,家族史。既往无手术史,无出国史。其最可能的诊断是||库鲁病||散发性CJD||家族性CJD||医源性CJD||变异型克雅病||A
属人和动物的朊粒病||SSPE||CJD||BSE||TSE||DHF||D
属牛等动物的朊粒病||SSPE||CJD||BSE||TSE||DHF||C
人类常见的传染性海绵状脑病是||狂犬病||克-雅病||艾滋病||莱姆病||库鲁病||B
与食用尸体宗教祭祀仪式有关,通过破损的皮肤、黏膜和胃肠道而传染导致人类的传染性海绵状脑病是||狂犬病||克-雅病||艾滋病||莱姆病||库鲁病||E

# 第三十五章 真菌学总论
属于真核细胞型的微生物是||流感病毒||幽门螺杆菌||沙眼衣原体||梅毒螺旋体||白假丝酵母||E
关于真菌生物学特性的描述中,错误的是||常用沙保弱培养基分离培养||多细胞真菌和单细胞真菌都可引起致病||只有菌丝具有繁殖能力||生长缓慢||孢子分有性孢子和无性孢子||C
下列哪种患者易合并深部真菌感染||结核病患者||慢性肝炎患者||鼻咽癌患者||艾滋病患者||吸毒者||D
鉴定多细胞真菌主要应用的检查方法是||革兰染色镜检||真菌小培养检查||墨汁负染色法||生化反应检查||血清学检查||B
真菌的选择性培养基中常添加以下哪些物质||青霉素+庆大霉素||氯霉素+放线菌酮||两性霉素B||放线菌素||氟康唑或伊曲康唑||B
形成类酵母型菌落的是||新生隐球菌||白假丝酵母||毛霉||烟曲霉||镰刀菌||B
真菌孢子的主要作用是||繁殖||抗吞噬||抵抗环境影响||引起炎症反应||引起变态反应||A
关于真菌致病性与免疫性的描述中错误的是||某些真菌可引起原发性感染||真菌的孢子和菌丝可引起各种类型的超敏反应||真菌在代谢过程中可产生毒素,引起中毒||某些真菌产生的毒素具有致癌作用||在抗真菌免疫中,体液免疫和细胞免疫均发挥主要作用||E
关于真菌孢子的论述中错误的是||孢子对热和化学药品的抵抗力较低||孢子产生后易散落于环境中||孢子是真菌的休眠体,无繁殖作用||孢子在环境中可存活很长时间||分无性孢子和有性孢子两种类型||C
真菌细胞不具有的结构或成分是||细胞壁||细胞核||内质网||叶绿素||线粒体||D
关于真菌菌丝的特性不正确的是||菌丝本身无繁殖能力||菌丝为管状,是真菌的结构成分||菌丝可分为营养菌丝、气中菌丝和生殖菌丝||许多菌丝交织在一起可形成菌丝体||生殖菌丝可形成各种孢子||A
与细菌相比,关于真菌培养的描述错误的是||营养要求较高||生长温度较低||生长速度非常快||菌落比较大||产生色素丰富||C
预防皮肤癣菌感染的最好方法是||接种真菌疫苗||注射抗真菌抗体||应用抗真菌淋巴细胞||注射干扰素、胸腺肽等细胞因子||注意皮肤清洁卫生,避免与患者接触||E
关于真菌的抵抗力的描述错误的是||对干燥、阳光和紫外线有较强的抵抗力||对一般消毒剂比较敏感||耐热,60°C1小时不能被杀死||对抗细菌的抗生素均不敏感||灰黄霉素、制霉菌素B可抑制真菌生长||C
下列哪种孢子不是多细胞真菌产生的||芽生孢子||厚生孢子||关节孢子||小分生孢子||大分生孢子||A
下列关于真菌的描述不正确的是||细胞核的分化程度较高||细胞器较完整||细胞壁比较坚硬||细胞壁含肽聚糖||对青霉素类抗生素不敏感||D
一女婴,出生后1个月出现鹅口疮,经抗真菌药治疗,病情未见好转,持续性加重,10个月后因肺部真菌感染死亡。尸检发现该患儿胸腺发育不全。此患儿发生持续真菌感染的原因主要是||吞噬细胞缺陷||体液免疫缺陷||细胞免疫缺陷||补体系统缺陷||继发性免疫缺陷||B
男性患者52岁,长年务农。慢性肝炎、肝硬化病史25年。每年7~8月雨季时,会出现咳嗽发热、胸部不适,抗生素治疗效果不明显。最近咳嗽加重,来院就诊。血中AFP,临床诊断考虑是肝癌。二次取痰培养出真菌,菌落呈黄绿色。镜检见有隔菌丝,分生孢子梗顶端膨大形成球形顶囊,小梗双层,顶端分生孢子呈链状排列、表面粗糙。该患者可能感染的病原菌是||烟曲霉||黄曲霉||白假丝酵母||新生隐球菌||石膏样小孢子菌||B
77岁男性病患,有高血压、糖尿病病史。脑出血后遗症,卧床2个多月。临床血常规和尿常规检查确定为尿路感染。头孢他啶治疗无效。尿培养检查培养出白假丝酵母。可以选择治疗的药物是||氨苄青霉素||氧氟沙星||氟康唑||苯唑西林||阿莫西林||C
急性白血病患者,经多种抗生素治疗无效,化疗后合并肝肾侵袭性真菌感染。目前认为诊断真菌感染的准确方法是||显微镜检查||培养检查||生化试验||动物实验||血清学实验||B
某实验员不慎将所携带的物品(耐高压,不怕潮湿)污染了病原真菌,应该采取何种方法处理,除了||60°C加热1小时||10%甲醛溶液消毒30分钟||紫外线照射30分钟||25g/L碘酊浸泡1小时||高压蒸汽灭菌30分钟||C
致病性接合菌的菌丝多为||有隔菌丝||无隔菌丝||营养菌丝||气中菌丝||生殖菌丝||B
可产生孢子的菌丝为||有隔菌丝||无隔菌丝||营养菌丝||气中菌丝||生殖菌丝||E
以发芽方式形成的圆形或卵形的孢子为||芽生孢子||关节孢子||厚膜孢子||分生孢子||孢子囊孢子||A
是真菌的一种休眠细胞,在适宜的条件下可再发芽繁殖的是||芽生孢子||关节孢子||厚膜孢子||分生孢子||孢子囊孢子||C
# 第三十六章 主要病原性真菌
浅部真菌生长的最适宜温度是||28°C左右||30~32°C||32~35°C||37°C||40°C||A
引起鹅口疮的病原体是||絮状表皮癣菌||口腔链球菌||苍白螺旋体||白假丝酵母||星形诺卡菌||D
新生隐球菌最重要的生物学特性是||单细胞真菌||宽厚的荚膜||出芽繁殖||培养基上形成酵母型菌落||营养要求不高,生长缓慢||B
不属于机会致病性真菌的是||白假丝酵母||新生隐球菌||组织胞浆菌||曲霉||毛霉||C
农业劳动人群、园艺师和森林警察易患的真菌病是||癣||汗斑||孢子丝菌病||着色真菌病||假丝酵母病||C
下列哪种人群易患发癣||儿童||成年人||艾滋病患者||结核病患者||过敏性体质||A
最易侵犯脑组织的真菌是||红色毛癣菌||黄曲霉||马尔尼菲青霉||新生隐球菌||申克孢子丝菌||D
皮肤癣菌引起的最常见的癣是||头癣||体癣||手足癣||股癣||甲癣||C
关于白假丝酵母的描述错误的是||是人体正常菌群成员||是机会致病性真菌||多形成继发感染||感染只限于皮肤黏膜||无特异性预防措施||D
病死率高且最不易发现的假丝酵母感染是||鹅口疮||皮肤白假丝酵母病||白假丝酵母性阴道炎||肺部白假丝酵母病||中枢神经系统白假丝酵母病||E
关于皮肤癣菌的描述错误的是||主要侵犯皮肤、毛发和指(趾)甲||通过直接或间接接触感染||在沙保弱培养基上形成丝状菌落||一种皮肤癣菌仅能引起一种癣病||可根据菌丝、孢子及菌落形态初步诊断||D
关于新生隐球菌的描述错误的是||菌体圆形,外包肥厚英膜||在沙保弱培养基上形成酵母型菌落||常引起慢性脑膜炎||营养丰富时可产生假菌丝||标本可直接用墨汁负染后镜检||D
白假丝酵母常可引起||皮肤癣||皮下组织感染||皮肤黏膜、内脏感染||毒血症||真菌中毒症||C
关于白假丝酵母的描述错误的是||属于单细胞机会致病性真菌||在玉米粉培养基上可产生厚膜孢子||在沙保弱培养基上形成酵母样菌落||在营养丰富培养基上长出菌丝||婴幼儿鹅口疮的病原体||D
新生隐球菌最易引起||肺隐球菌病||中枢神经系统隐球菌病||皮肤隐球菌病||肾隐球菌病||新生隐球菌病||B
墨汁法染色新生隐球菌直接镜检,典型的形态是||细胞呈卵圆形||有芽生孢子||细胞壁厚||有宽厚的荚膜||细胞呈圆形||D
关于毛癣菌属错误的是||对人致病的有10余种||仅侵犯指(趾)甲、毛发||病损标本镜检快速有效||不同菌种在沙保弱培养基上菌落性状和色泽各异||侵犯表皮和甲板常见的有红色毛癣菌和石膏样毛癣菌||B
关于表皮癣菌属的描述错误的是||仅絮状表皮癣菌致病||侵害指(趾)甲||侵害毛发||直接镜检有诊断价值||侵害皮肤||C
关于曲霉的描述错误的是||是常见的污染真菌||有些可成为机会致病菌||某些曲霉可产生真菌毒素||多引起人类浅部感染||菌落为丝状||D
白假丝酵母产生厚膜孢子的常用的培养基是||沙保弱培养基||察氏培养基||玉米-吐温-80培养基||血清培养基||马铃薯葡萄糖培养基||C
关于真菌的描述错误的是||白假丝酵母能形成厚膜孢子||新生隐球菌有肥厚荚膜||20g/LKOH溶液可用于浅部真菌的镜检||放线菌酮可用于分离白假丝酵母||荚膜组织胞浆菌为双相型真菌||C
能形成芽管和厚膜孢子的是||白假丝酵母||热带假丝酵母||克柔假丝酵母||类星形假丝酵母||近平滑假丝酵母||A
关于新生隐球菌的描述错误的是||单细胞酵母型真菌||可引起多个器官感染||通常是机会致病菌||引起感染为内源性感染||有肥厚荚膜||D
引起假丝酵母感染的原因不包括||与假丝酵母感染病人接触||菌群失调||长期使用激素或免疫抑制剂||内分泌功能失调||机体屏障功能遭破坏||A
某女曾因治疗其他疾病长期使用过激素类药物,诊断为阴道炎。微生物学检查:宫颈分泌物直接涂片检查为革兰阳性,圆形、卵圆形的芽生孢子,在沙保弱培养基上有假菌丝形成。引起阴道炎的病原体是||无芽胞厌氧菌||新生隐球菌||解脲脲原体||白假丝酵母||梅毒螺旋体||D
76岁男性患有慢性支气管炎。入冬时节,急性发作,伴有发热。头孢他定治疗2周后,症状缓解,但随后再次出现发热。深部咳痰检查发现革兰阳性、圆形、卵圆形的菌,经培养检查发现为痰中含有白假丝酵母,此时应该使用的治疗药物是||罗红霉素||头孢呋辛钠||氟康唑||特比萘芬||诺氟沙星||C
某AIDA患者,出现严重的肺炎,痰涂片检查发现有孢子和滋养体存在。该患者感染的病原体是||新生隐球菌||申克孢子丝菌||烟曲霉||毛霉||卡氏肺孢子菌||E
14岁男性患者,面部红斑、丘疹伴瘙痒一个月,伴脓疤和发热9天。经头孢菌必治治疗无效。无接触狗、猫等动物史。取鳞屑及结痂经棉兰染色见大量的有隔菌丝、棍棒状大分生孢子和大量散在的圆形或卵圆形小分生孢子。在沙保弱培养基上培养可见绒毛状菌落,产生红色色素;该患者感染的皮肤癣菌是||红色毛癣菌||石膏样小孢子菌||絮状表皮癣菌||石膏样毛癣菌||铁锈色小孢子菌||A
62岁女性农民患者,右手背、右前臂结节、溃疡、淋巴结肿大二个月。有木刺刺伤史。就诊于当地医院给予抗生素及局部换药等治疗,症状未见缓解。皮肤组织培养菌落呈褐色皱膜状,镜下可见有隔菌丝及梨形小分生孢子。口服碘化钾治疗后症状缓解。该患者感染的病原菌是||红色毛癣菌||申克孢子丝菌||白假丝酵母||新生隐球菌||烟曲霉||B
某女喜欢喂养鸽子。两个月前因头疼,伴低热、呕吐,经抗病毒治疗,头疼减缓,近半个月症状加重。CSF墨汁染色可见圆形透亮菌体,外周有一层肥厚英膜。该患者感染的病原菌是||白假丝酵母||新生隐球菌||结核分枝杆菌||脑膜炎奈瑟菌||流感嗜血杆菌||B
54岁女性患有支气管哮喘,咳嗽、咳痰、喘息40余年,最近病情加重10天,伴有头痛、胸闷、乏力。服用抗生素及激素进行治疗。胸部CT检查显示双肺感染。二次痰培养结果显示有真菌感染,菌落呈深绿色、粉末状。镜检见有隔菌丝,分生孢子梗顶端呈烧瓶状的顶囊,小梗呈单层,顶端有长短不等呈状的分生孢子。伊曲康唑治疗病情好转。该患者感染的病原菌是||新生隐球菌||白假丝酵母||烟曲霉||放线菌||申克孢子丝菌||C
可侵犯皮肤和毛发,不能侵犯甲板的是||红色毛癣菌||犬小孢子菌||絮状表皮癣菌||申克孢子丝菌||着色真菌||B
可侵犯皮肤和甲板,不能侵犯毛发的是||红色毛癣菌||犬小孢子菌||絮状表皮癣菌||申克孢子丝菌||着色真菌||C
可侵犯皮肤、毛发及甲板的是||红色毛癣菌||犬小孢子菌||絮状表皮癣菌||申克孢子丝菌||着色真菌||A
易引起从事农业、园艺等职业人员感染的是||红色毛癣菌||犬小孢子菌||絮状表皮癣菌||申克孢子丝菌||着色真菌||D
可引起皮下组织感染的是||申克孢子丝菌||白假丝酵母||新生隐球菌||黄曲霉||红色毛癣菌||A
引起手足癣最多见的是||申克孢子丝菌||白假丝酵母||新生隐球菌||黄曲霉||红色毛癣菌||E
引起深部感染最多见的是||申克孢子丝菌||白假丝酵母||新生隐球菌||黄曲霉||红色毛癣菌||B
最易侵犯中枢神经系统的是||申克孢子丝菌||白假丝酵母||新生隐球菌||黄曲霉||红色毛癣菌||C
产生毒素与肝癌发生有关的是||申克孢子丝菌||白假丝酵母||新生隐球菌||黄曲霉||红色毛癣菌||D
引起深部感染最常见的丝状真菌是||烟曲霉||茄病镰刀菌||马尔尼菲青霉||总状毛霉||肺孢子菌||A
属于双相型真菌的是||烟曲霉||茄病镰刀菌||马尔尼菲青霉||总状毛霉||肺孢子菌||C
兼具原虫及酵母菌的特点是||烟曲霉||茄病镰刀菌||马尔尼菲青霉||总状毛霉||肺孢子菌||E
病生前诊断困难,多通过尸检病理诊断确诊的是||烟曲霉||茄病镰刀菌||马尔尼菲青霉||总状毛霉||肺孢子菌||D
对临床常用抗真菌药物均具有较高耐药性的是||烟曲霉||茄病镰刀菌||马尔尼菲青霉||总状毛霉||肺孢子菌||B
